Var1,Var2,Var3
2330,フォーサイド,138015.592719996
2706,ブロッコリー,279551.704955123
2761,トシン・グループ,949214.673264715
3550,スタジオアタオ,131233.446249813
3653,モルフォ,125000.000000336
3758,アエリア,277005.635232129
3986,ビーブレイクシステムズ,125000.000000172
4583,カイオム・バイオサイエンス,125000.000001586
4586,メドレックス,152086.865285568
4588,オンコリスバイオファーマ,237004.014062512
4667,アイサンテクノロジー,125000.000000278
5542,新報国製鉄,192388.651204257
6176,ブランジスタ,169795.607645758
6554,エスユーエス,125000.000000474
6558,クックビズ,125000.000000165
7172,ジャパンインベストメントアドバイザー,201541.55079572
7298,八千代工業,125000.000000547
7748,ホロン,1147162.25855546
9272,ブティックス,125000.000025411
